AGI	gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	description
AT1G16030	Hsp70b	22125	-1.9339	0.056479	-34.242	5.710799999999997e-257	9.090999999999995e-253	full_name=heat shock protein 70B. heat shock protein 70B.
AT4G09610	GASA2	3683.5	-2.1869	0.07709	-28.369	4.939099999999998e-177	3.9312999999999984e-173	full_name=GAST1 protein homolog 2. GAST1 protein homolog 2.
AT1G52560	HSP26.5	4078.6	-2.3507	0.085743	-27.416	1.7893999999999996e-165	9.495099999999998e-162	HSP20-like chaperones superfamily protein.
AT1G73190	TIP3;1	33174	-1.3	0.049363	-26.337	7.276499999999999e-153	2.8958999999999987e-149	Aquaporin-like superfamily protein. Moves to the Protein Storage Vacuole in a Golgi independent manner
AT2G46240	BAG6	1203.3	-2.648	0.10156	-26.073	7.461499999999997e-150	2.3755999999999993e-146	full_name=BCL-2-associated athanogene 6. BCL-2-associated athanogene 6. A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Expression of BAG6 in leaves was strongly induced by heat stress. Knockout mutants exhibited enhanced susceptibility to fungal pathogen Botrytis cinerea. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development.
AT3G46230	HSP17.4	58314	-2.2379	0.086114	-25.988	6.784999999999997e-149	1.8001999999999993e-145	full_name=heat shock protein 17.4. heat shock protein 17.4. member of the class I small heat-shock protein (sHSP) family, which accounts for the majority of sHSPs in maturing seeds
AT2G29500	HSP17.6B	2408.6	-2.4069	0.093361	-25.781	1.4549999999999994e-146	3.3088999999999987e-143	HSP20-like chaperones superfamily protein.
AT4G09600	GASA3	9707.4	-1.9019	0.073904	-25.735	4.797199999999999e-146	9.545799999999996e-143	full_name=GAST1 protein homolog 3. GAST1 protein homolog 3. One of GASA gene family which is related to a GA-stimulated transcript (GAST) from tomato.
AT1G05680	UGT74E2	978.11	2.3578	0.094484	24.954	1.9272999999999996e-137	3.408899999999999e-134	full_name=Uridine diphosphate glycosyltransferase 74E2. Uridine diphosphate glycosyltransferase 74E2. Encodes a UDP-glucosyltransferase, UGT74E2,  that acts on IBA (indole-3-butyric acid) and affects auxin homeostasis. The transcript and protein levels of this enzyme are strongly induced by H2O2 and may allow integration of ROS (reactive oxygen species) and auxin signaling. This enzyme can also transfer glycosyl groups to several compounds related to the explosive TNT when this synthetic compound is taken up from the environment.
AT1G03890		4435.4	-2.6148	0.1072	-24.392	2.0734999999999993e-131	3.300699999999999e-128	RmlC-like cupins superfamily protein.
AT5G07340		512.86	3.5791	0.14868	24.073	4.846499999999998e-128	7.013699999999998e-125	Calreticulin family protein.
AT5G12030	HSP17.6A	63720	-1.696	0.070818	-23.949	9.575599999999997e-127	1.2702999999999997e-123	full_name=heat shock protein 17.6A. heat shock protein 17.6A. Encodes a cytosolic small heat shock protein with chaperone activity that is induced by heat and osmotic stress and is also expressed late in seed development.
AT3G06325		592.66	4.3708	0.18288	23.9	3.088299999999999e-126	3.781699999999999e-123	Natural antisense transcript overlaps with AT3G41762.  Natural antisense transcript overlaps with AT3G41762
AT5G40420	OLEO2	54317	-1.2442	0.052432	-23.731	1.7419999999999996e-124	1.9807999999999996e-121	full_name=oleosin 2. oleosin 2. Encodes oleosin2, a protein found in oil bodies, involved in seed lipid accumulation. Suppression of OLEO1 (and OLEO2) resulted in an aberrant phenotype of embryo cells that contain unusually large oilbodies that are not normally observed in seeds. Changes in the size of oilbodies caused disruption of storage organelles, altering accumulation of lipids and proteins and causing delay in germination.  Functions in freezing tolerance of seeds.
AT4G31800	WRKY18	542.47	3.4892	0.1477	23.624	2.1741999999999997e-123	2.3074e-120	full_name=WRKY DNA-binding protein 18. WRKY DNA-binding protein 18. Pathogen-induced transcription factor. Binds W-box sequences  in vitro. Forms protein complexes with itself and with WRKY40 and WRKY60. Constitutive expression of WRKY18  enhanced resistance to P. syringae, but its coexpression with WRKY40 or WRKY60 made plants more susceptible to both  P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two.
