Trait,AGI
DT,AT1G03970
DT,AT5G44080
DT,AT1G49720
DT,AT2G36270
DT,AT5G11260
DT,AT1G45249
DT,AT3G19290
DT,AT3G17609
DT,AT2G20180
DT,AT1G32150
DT,AT2G35530
DT,AT3G23210
DT,AT1G09530
DT,AT1G54060
DT,AT1G28420
DT,AT5G44180
DT,AT1G75080
DT,AT4G36990
DT,AT4G34000
DT,AT2G27050
DT,AT5G65100
DT,AT1G28370
DT,AT4G36730
DT,AT2G46270
DT,AT4G01120
DT,AT3G10800
DT,AT1G59640
DT,AT5G62610
DT,AT1G03040
DT,AT2G24260
DT,AT4G02590
DT,AT5G54680
DT,AT3G56850
DT,AT1G19350
DT,AT4G14410
DT,AT5G38860
DT,AT4G36930
DT,AT5G67110
DT,AT2G46510
DT,AT4G28790
DT,AT4G28811
DT,AT5G08130
DT,AT2G43010
DT,AT5G46760
DT,AT1G01260
DT,AT5G45300
DT,AT4G18890
DT,AT4G17880
DT,AT1G32640
DT,AT2G40950
DT,AT4G09820
DT,AT1G69010
DT,AT1G51070
DT,AT4G16430
DT,AT5G61270
DT,AT5G57150
DT,AT1G10120
DT,AT1G26260
DT,AT1G68920
DT,AT3G23690
DT,AT4G34530
DT,AT3G59060
DT,AT1G78700
DT,AT4G36780
DT,AT2G18160
DT,AT1G75390
DT,AT3G62420
DT,AT4G34590
DT,AT1G42990
DT,AT3G44460
DT,AT5G65210
DT,AT2G41070
DT,AT3G20840
DT,AT4G16150
DT,AT5G49450
DT,AT3G15500
DT,AT3G61150
DT,AT4G00250
DT,AT5G25830
DT,AT4G38170
DT,AT2G45050
DT,AT3G60530
DT,AT5G42520
DT,AT5G47390
DT,AT5G66320
DT,AT2G01930
DT,AT1G49010
DT,AT5G08520
DT,AT4G34680
DT,AT3G54810
DT,AT5G44210
DT,AT1G19000
DT,AT1G72050
DT,AT1G74840
longevity,AT3G54810
longevity,AT2G45050
longevity,AT3G60530
longevity,AT3G51080
longevity,AT5G66320
longevity,AT3G45170
longevity,AT4G34680
longevity,AT5G25830
longevity,AT3G24050
longevity,AT4G38170
longevity,AT1G51600
longevity,AT2G01930
longevity,AT3G16857
longevity,AT5G42520
longevity,AT1G08000
longevity,AT1G08010
longevity,AT4G36990
longevity,AT5G66940
longevity,AT4G32890
longevity,AT2G01760
longevity,AT2G28810
longevity,AT5G47140
longevity,AT3G50410
longevity,AT1G51700
longevity,AT3G55370
longevity,AT4G17570
longevity,AT1G72050
longevity,AT3G10760
longevity,AT3G46640
longevity,AT5G05090
longevity,AT5G59570
longevity,AT5G60200
longevity,AT4G31920
longevity,AT1G68670
longevity,AT3G44480
longevity,AT1G01250
longevity,AT4G16141
longevity,AT5G49300
longevity,AT3G06740
longevity,AT3G16870
longevity,AT4G26150
longevity,AT5G56860
longevity,AT4G16110
longevity,AT1G19350
longevity,AT4G27900
longevity,AT1G64620
longevity,AT1G69570
longevity,AT3G45610
longevity,AT4G36620
longevity,AT2G02070
longevity,AT5G08330
longevity,AT2G35530
longevity,AT2G38530
longevity,AT5G39660
longevity,AT1G03970
longevity,AT5G44080
longevity,AT3G21270
longevity,AT5G65590
longevity,AT5G10140
longevity,AT3G13810
longevity,AT4G38910
longevity,AT1G78700
longevity,AT5G65050
longevity,AT5G65060
longevity,AT3G10800
longevity,AT4G36780
longevity,AT2G46590
longevity,AT5G56930
longevity,AT5G16600
longevity,AT2G46270
longevity,AT4G18890
longevity,AT2G02080
longevity,AT2G36270
longevity,AT1G77080
longevity,AT5G65070
longevity,AT5G65080
longevity,AT2G20570
longevity,AT5G23280
longevity,AT1G32150
longevity,AT1G14580
longevity,AT5G03150
longevity,AT2G40260
longevity,AT1G72010
longevity,AT1G75080
longevity,AT1G49560
longevity,AT4G38620
longevity,AT4G14465
longevity,AT2G43010
longevity,AT4G18020
longevity,AT3G27010
longevity,AT5G45300
longevity,AT4G06746
longevity,AT3G50700
longevity,AT1G09530
longevity,AT4G18390
longevity,AT3G02940
longevity,AT4G36900
longevity,AT1G79430
longevity,AT3G24120
longevity,AT5G51910
longevity,AT5G13790
longevity,AT1G01260
longevity,AT5G57150
longevity,AT2G40340
longevity,AT3G12730
longevity,AT4G13640
longevity,AT5G11260
longevity,AT3G47500
longevity,AT2G23340
longevity,AT1G46768
longevity,AT3G56850
longevity,AT3G12820
longevity,AT3G14180
longevity,AT1G54060
longevity,AT1G28420
longevity,AT5G44180
longevity,AT3G54340
longevity,AT4G35390
longevity,AT4G31060
longevity,AT3G23210
longevity,AT3G28910
longevity,AT5G62470
longevity,AT1G03840
longevity,AT3G02150
longevity,AT3G19290
longevity,AT1G08810
longevity,AT1G74650
longevity,AT3G47600
longevity,AT1G13450
longevity,AT5G09410
longevity,AT4G15090
longevity,AT5G02030
longevity,AT1G53230
longevity,AT3G17609
longevity,AT1G45249
longevity,AT4G24470
longevity,AT3G28920
longevity,AT5G65210
longevity,AT2G18160
longevity,AT1G55110
longevity,AT5G63260
longevity,AT2G45480
longevity,AT2G41940
longevity,AT1G06180
longevity,AT1G49720
longevity,AT1G48610
longevity,AT2G20180
longevity,AT4G37180
longevity,AT1G30490
longevity,AT1G16490
longevity,AT1G76890
longevity,AT3G24520
longevity,AT5G46880
longevity,AT2G16720
longevity,AT4G34990
longevity,AT5G66730
longevity,AT5G62020
longevity,AT4G34000
longevity,AT3G22170
longevity,AT2G01060
longevity,AT4G14410
longevity,AT1G36060
longevity,AT3G62420
longevity,AT1G52150
longevity,AT1G09540
longevity,AT3G15500
longevity,AT1G33240
longevity,AT1G25550
longevity,AT5G67190
longevity,AT1G59640
longevity,AT1G35460
longevity,AT4G34590
longevity,AT3G13040
longevity,AT5G49450
longevity,AT4G28610
longevity,AT1G17950
longevity,AT4G01120
longevity,AT1G42990
longevity,AT5G61270
longevity,AT5G47660
longevity,AT4G36730
longevity,AT3G57230
longevity,AT5G05550
longevity,AT5G04340
longevity,AT5G67110
longevity,AT5G05410
longevity,AT1G10120
longevity,AT1G75390
longevity,AT5G60850
longevity,AT1G30210
longevity,AT3G58630
longevity,AT1G32640
longevity,AT3G04450
longevity,AT5G29000
longevity,AT5G06950
longevity,AT4G28811
longevity,AT4G36930
longevity,AT3G14230
longevity,AT1G69010
longevity,AT5G06960
longevity,AT1G73730
longevity,AT5G65410
longevity,AT2G22430
longevity,AT1G27730
longevity,AT4G28790
longevity,AT3G04850
longevity,AT2G42280
longevity,AT5G02320
longevity,AT3G47620
longevity,AT5G38860
longevity,AT1G29160
longevity,AT2G01940
longevity,AT4G32730
longevity,AT1G49480
longevity,AT1G05230
longevity,AT4G21750
longevity,AT1G06070
longevity,AT2G31370
longevity,AT2G40620
longevity,AT3G10030
longevity,AT1G01030
longevity,AT1G01520
longevity,AT3G09600
longevity,AT4G01280
longevity,AT5G02840
longevity,AT5G52660
longevity,AT2G22800
longevity,AT4G37790
longevity,AT1G59750
longevity,AT3G15030
longevity,AT4G24240
longevity,AT2G46830
longevity,AT1G07640
longevity,AT4G35550
longevity,AT2G44910
longevity,AT4G16780
