AGI	gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	description
AT1G68020	ATTPS6	1300.3	1.4906	0.099269	15.016	5.7557e-51	9.1654e-47	UDP-Glycosyltransferase / trehalose-phosphatase family protein. Encodes an enzyme putatively involved in trehalose biosynthesis. The protein has a trehalose synthase (TPS)-like domain and a trehalose phosphatase (TPP)-like domain. It can complement a yeast mutant lacking both of these activities suggesting that this is a bifunctional enzyme.
AT1G68140		862.34	-0.95955	0.11011	-8.7145	2.9193e-18	2.3243e-14	zinc finger/BTB domain protein, putative (DUF1644).
AT3G44010		758.43	1.2278	0.1536	7.9932	1.3143e-15	6.9762e-12	Ribosomal protein S14p/S29e family protein.
AT5G38660	APE1	926.75	-0.88022	0.12274	-7.1716	7.4141e-13	2.9515e-9	full_name=ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT. acclimation of photosynthesis to environment. mutant has Altered acclimation responses;
AT5G47080	CKB1	1015.2	0.72172	0.11512	6.269	3.6329e-10	1.157e-6	full_name=casein kinase II  beta chain 1. casein kinase II beta chain 1. Regulatory subunit beta of casein kinase II (CK2). purified CKB1 resulted in up 100-fold stimulation of casein kinase activity compared with the CKA1 activity alone. Forms a tetrameric complex with CKA1 (CKA1(2)CKB1(2)). One known substrate of CK2 is Phytochrome Interacting Factor 1 (PIF1). CK2-mediated phosphorylation enhances the light-induced degradation of PIF1 to promote photomorphogenesis.
AT5G37680	ARLA1A	429.19	-0.77698	0.13472	-5.7672	8.0596e-9	2.139e-5	full_name=ADP-ribosylation factor-like A1A. ADP-ribosylation factor-like A1A. A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARL GTPases.
AT3G47875		29.082	3.3577	0.59917	5.6039	2.0955e-8	4.7669e-5	transposable_element_gene.
AT3G27260	GTE8	1171.7	-0.67383	0.12769	-5.2771	1.3125e-7	2.6126e-4	full_name=global transcription factor group E8. global transcription factor group E8. Kinase like protein with similarity to yeast BDF1 and human RING3 protein, which have two bromodomains GTE8 has a single bromodomain
AT3G13400	sks13	153.09	1.1826	0.23513	5.0297	4.9117e-7	8.6904e-4	full_name=SKU5  similar 13. SKU5 similar 13.
AT3G01270		115.76	1.4189	0.28606	4.9601	7.0455e-7	0.0011219	Pectate lyase family protein.
AT2G47040	VGD1	152.05	1.2389	0.25199	4.9164	8.8138e-7	0.0012759	full_name=VANGUARD1. Plant invertase/pectin methylesterase inhibitor superfamily. Share high homologies with a group of pectin methylesterases (PME), pollen specific, and is required for enhancing the growth of pollen tube in style and transmitting tract tissues.
AT2G33070	NSP2	29417	-0.42738	0.087327	-4.8941	9.8777e-7	0.0013108	full_name=nitrile specifier protein 2. nitrile specifier protein 2. Encodes a nitrile-specifier protein NSP2. NSP2 is one out of five (At3g16400/NSP1, At2g33070/NSP2, At3g16390/NSP3, At3g16410/NSP4 and At5g48180/NSP5) A. thaliana epithiospecifier protein (ESP) homologues that promote simple nitrile, but not epithionitrile or thiocyanate formation.
AT5G45775		591.08	0.83448	0.18344	4.5491	5.3888e-6	0.0066008	Ribosomal L5P family protein.
AT3G07820		96.322	1.3518	0.2985	4.5287	5.9351e-6	0.0067508	Pectin lyase-like superfamily protein.
AT5G53220		1061.2	-0.45518	0.10178	-4.4722	7.7407e-6	0.0077684	hypothetical protein.
AT1G03220	SAP2	1441	0.38663	0.086485	4.4705	7.8054e-6	0.0077684	Eukaryotic aspartyl protease family protein.
AT5G07430		62.566	1.4768	0.33185	4.4501	8.5822e-6	0.008039	Pectin lyase-like superfamily protein.
AT1G02920	GSTF7	135.69	1.1717	0.26812	4.3701	1.2421e-5	0.010988	full_name=glutathione S-transferase 7. glutathione S-transferase 7. Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT5G65660		868.16	0.52222	0.12084	4.3214	1.5502e-5	0.012993	hydroxyproline-rich glycoprotein family protein.
AT1G02790	PGA4	134.39	1.1519	0.27128	4.246	2.1765e-5	0.016808	full_name=polygalacturonase 4. polygalacturonase 4. encodes a exopolygalacturonase.
AT4G05390	RFNR1	339.65	0.60036	0.14166	4.2379	2.2563e-5	0.016808	full_name=root FNR 1. root FNR 1. Encodes a root-type ferredoxin:NADP(H) oxidoreductase.
AT2G14775		5.8156	-6.2847	1.4853	-4.2314	2.3222e-5	0.016808	hypothetical protein.
AT5G05965		215.54	0.72287	0.17468	4.1384	3.498e-5	0.024218	cell wall RBR3-like protein.
AT1G60940	SNRK2.10	2146.1	0.4516	0.11052	4.0861	4.3861e-5	0.029102	full_name=SNF1-related protein kinase 2.10. SNF1-related protein kinase 2.10. encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.
AT1G55560	sks14	52.927	1.3347	0.33676	3.9632	7.3944e-5	0.045719	full_name=SKU5  similar 14. SKU5 similar 14.
AT1G80440	KMD1	170.97	0.97744	0.24677	3.961	7.4649e-5	0.045719	Galactose oxidase/kelch repeat superfamily protein. Encodes a member of a family of F-box proteins, called the KISS ME DEADLY (KMD) family, that targets type-B ARR proteins for degradation and is involved in the negative regulation of the cytokinin response. Also named as KFB20, a member of a group of Kelch repeat F-box proteins that negatively regulate phenylpropanoid biosynthesis by targeting the phenypropanoid biosynthesis enzyme phenylalanine ammonia-lyase.
AT2G22240	MIPS2	10223	-0.35397	0.089599	-3.9506	7.7947e-5	0.045971	full_name=myo-inositol-1-phosphate synthase 2. myo-inositol-1-phosphate synthase 2. ** Referred to as MIPS1 in Mitsuhashi et al 2008. Myo-inositol-1-phosphate synthase isoform 2. Expressed in leaf, root and silique. Immunolocalization experiments with an antibody recognizing MIPS1, MIPS2, and MIPS3 showed endosperm localization.
AT4G09000	GRF1	1131.4	0.53117	0.13514	3.9305	8.4771e-5	0.04821	full_name=general regulatory factor 1. general regulatory factor 1. Encodes a 14-3-3 gene, designated GRF1 chi (for general regulatory factor1-G-box factor 14-3-3 homolog isoform chi). The major native forms of 14-3-3s are homo- and hetero-dimers, the biological functions of which are to interact physically with specific client proteins and thereby effect a change in the client. As a result, 14-3-3s are involved in a vast array of processes such as the response to stress, cell-cycle control, and apoptosis, serving as adapters, activators, and repressors. There are currently 133 full-length sequences available.
AT5G14040	PHT3;1	382.83	0.68297	0.17523	3.8975	9.7175e-5	0.053359	full_name=phosphate transporter 3;1. phosphate transporter 3;1. Encodes a mitochondrial phosphate transporter. Modulates plant responses to salt stress.
AT5G03180		3309.6	-0.48774	0.12731	-3.8313	1.2748e-4	0.067664	RING/U-box superfamily protein.
AT3G06640		35.15	1.6662	0.44321	3.7594	1.7033e-4	0.085014	PAS domain-containing protein tyrosine kinase family protein.
AT3G43860	GH9A4	22.26	2.7777	0.73901	3.7586	1.7084e-4	0.085014	full_name=glycosyl hydrolase 9A4. glycosyl hydrolase 9A4.
AT1G61210	DWA3	497.51	-0.4433	0.11835	-3.7458	1.798e-4	0.085648	full_name=DWD hypersensitive to ABA 3. Transducin/WD40 repeat-like superfamily protein. DWA3 encodes a DWD(DDB1 binding WD40) protein. Invitro analyses suggest its involvement in the negative regulation  of ABA responses.
AT3G28830		32.231	1.6427	0.43903	3.7416	1.8287e-4	0.085648	mucin-like protein, putative (DUF1216).
AT3G62230	DAF1	53.495	1.2529	0.33855	3.7008	2.1494e-4	0.095636	full_name=DUO1-activated F-box 1. F-box family protein. Target promoter of the male germline-specific transcription factor DUO1.
AT2G47030	VGDH1	68.507	1.0744	0.29043	3.6993	2.1621e-4	0.095636	Plant invertase/pectin methylesterase inhibitor superfamily.
AT3G25495		847.01	-0.36082	0.097977	-3.6827	2.3076e-4	0.097403	pseudogene. pseudogene of leucine-rich repeat protein
AT1G11840	GLX1	3393.7	-0.28999	0.078783	-3.6809	2.3244e-4	0.097403	full_name=glyoxalase I homolog. glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein. Encodes a glyoxalase I homolog ATGLX1.
AT3G08030	ATHA2-1	779.43	0.66416	0.18232	3.6429	2.6954e-4	0.11006	DNA-directed RNA polymerase subunit beta (Protein of unknown function, DUF642). The mRNA of this gene is expressed in viable seeds.  Its detection in a dry seed lot has potential for use as a molecular marker for germination performance as absence of expression correlates with decreased germination.
AT4G25630	FIB2	643.69	0.62274	0.17156	3.6298	2.8364e-4	0.11292	full_name=fibrillarin 2. fibrillarin 2. encodes a fibrillarin, a key nucleolar protein in eukaryotes which associates with box C/D small nucleolar RNAs (snoRNAs) directing 2'-O-ribose methylation of the rRNA. This gene also encodes a novel box C/D snoRNA, U60.2f in its fifth intron that accumulates in seedlings and that their targeted residue on the 25 S rRNA is methylated.
AT5G40850	UPM1	1300.3	0.54834	0.15243	3.5972	3.2164e-4	0.12492	full_name=urophorphyrin methylase 1. urophorphyrin methylase 1. Encodes a urophorphyrin III methylase that  catalyzes S-adenosyl-L-methionine-dependent transmethylation in a multistep process involving the formation of a covalently linked complex with S-adenosyl-L-methionine.
AT1G61566	RALFL9	43.752	1.5474	0.43476	3.5591	3.7211e-4	0.13575	full_name=ralf-like 9. ralf-like 9. Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide.
AT2G18540		7159.6	-0.41964	0.11791	-3.559	3.723e-4	0.13575	RmlC-like cupins superfamily protein.
AT2G15620	NIR1	2795.2	0.56477	0.15878	3.557	3.7509e-4	0.13575	full_name=nitrite reductase 1. nitrite reductase 1. Involved in the second step of nitrate assimilation.  Its expression is induced by nitrate.
AT1G65970	TPX2	1147	0.62715	0.17695	3.5443	3.9369e-4	0.137	full_name=thioredoxin-dependent peroxidase 2. thioredoxin-dependent peroxidase 2. thioredoxin-dependent peroxidase 2
AT5G19580		91.425	1.1024	0.31143	3.5398	4.004e-4	0.137	glyoxal oxidase-related protein.
